year,year_number,poly_fit,log_fit,avg3pt_percentage
1979,1,0.16670017206173596,0.17236311592443454,0.125
1980,2,0.19009698566842334,0.20950308825878897,0.2068529411764706
1981,3,0.21122524525294162,0.2312285793522075,0.2680666666666667
1982,4,0.23023252856110465,0.2466430605931434,0.24147222222222223
1983,5,0.24726166327556548,0.2585994611309115,0.21570833333333334
1984,6,0.2624507270158162,0.26836855168656193,0.26311940298507464
1985,7,0.2759330473381879,0.27662820006236766,0.2694898568019093
1986,8,0.28783720173585103,0.28378303292749785,0.28536393442622954
1987,9,0.29828701763881504,0.29009404277998047,0.2992969061876247
1988,10,0.30740157241392846,0.2957394334652659,0.30606807727690893
1989,11,0.3152951933648789,0.30084631053321476,0.3094113257243196
1990,12,0.3220774577321931,0.30550852402091633,0.3090545064377682
1991,13,0.3278531926932371,0.309797344681141,0.3232791922739245
1992,14,0.3327224753622158,0.3137681723967221,0.32671620486985725
1993,15,0.33678063279017323,0.3174649245586844,0.335927797833935
1994,16,0.34011824196499274,0.32092300526185225,0.3617561274509804
1995,17,0.3428211298113966,0.3241713727661739,0.3618557772236076
1996,18,0.34497037319094637,0.32723401511433486,0.34829351265822783
1997,19,0.34664229890204235,0.3301310262520723,0.34491875746714457
1998,20,0.3479084836799245,0.3328794057996203,0.334886232481451
1999,21,0.3488357541966714,0.33549366349014065,0.3492264072847682
2000,22,0.34948618706120105,0.33798628286756915,0.3519904306220096
2001,23,0.3499171088192704,0.34036808182513023,0.3494763877381939
2002,24,0.3501810959534756,0.3426484963552708,0.34259836065573773
2003,25,0.3503259748832519,0.34483580633738836,0.3446104883907125
2004,26,0.35039482196487337,0.34693731701549546,0.35154982578397215
2005,27,0.3504259634914539,0.3489595062077534,0.3501139010189228
2006,28,0.35045297569294576,0.35090814473107657,0.3556905434015526
2007,29,0.3505046847361409,0.35278839568429216,0.3561101108033241
2008,30,0.35060516672466974,0.35460489689303887,0.3567883008356546
2009,31,0.35077374769900227,0.3563618298311639,0.35579750346740635
2010,32,0.3510250036364478,0.35806297759620664,0.34720447110141767
2011,33,0.35136876045115406,0.35971177396098764,0.3427458149779736
2012,34,0.3518100939941087,0.3613113451005283,0.3497065868263473
2013,35,0.3523493300531376,0.3628645452688446,0.3540726083964212
2014,36,0.3529820443529066,0.3643739874486893,0.3455332167832168
2015,37,0.3536990625549201,0.3658420698010033,0.3530598885793872
2016,38,0.35448646025752184,0.36727099858642676,0.35938892782060267
2017,39,0.35532556299589435,0.36866280810891394,0.3567443095599393
2018,40,0.3561929462420601,0.37001937813397473,0.3548475177304965
2019,41,0.3570604354048796,0.37134244915581527,0.36016468253968253
2020,42,0.3578951058300529,0.37263363582449505,0.35916597755463675
2021,43,0.3586592828001199,0.373894438792953,0.3550636105188344
2022,44,0.3593105415344585,0.37512625520192355,0.36049610389610387
2023,45,0.3598017071892863,0.37633038798645735,0.36049610389610387
2024,46,0.36008085485765956,0.37750805415948463,0.36049610389610387
2025,47,0.36009130956947427,0.3786603922044555,0.36049610389610387
2026,48,0.35977164629146535,0.37978846868962524,0.36049610389610387
2027,49,0.3590556899272065,0.38089328420030083,0.36049610389610387
2028,50,0.3578725153171102,0.3819757786717428,0.36049610389610387
2029,51,0.3561464472384298,0.38303683619394685,0.36049610389610387
